seed,case_id,ablation,delta_recovered_cases,delta_recovered_minor,delta_net_recovered_minor,delta_intervention_cost_minor,delta_contacts,delta_attempts,delta_latency_hours,delta_fatigue_cost_minor,delta_waits
101,sim-599455ac-ee5c-12fb-418fe0a0655b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-5b75be84-bd3f-8397-0106203b4ecf,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7cb37ec6-2754-886a-efd0fd84750d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-04f7bf6f-9211-eeb2-164fcd7457c7,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-76ebaa5d-2503-e03f-44b5e44776fd,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-01a4d2c4-5772-528c-6434251c4f4a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-e869a748-ccaf-e958-3cb4cd2f28cd,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-959a35cb-7e47-96de-853e5cd2d164,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-5e118b39-1a39-8c62-669447f9106a,without_customer_context,0,0,45,-45,-1,0,77,-52,1
101,sim-dccd1fd3-fcb8-c364-0b8766527305,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-42dfb4a2-f2d9-9318-c2ab060dc18f,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-d74c51e6-a88a-40ad-316ae729ad97,without_customer_context,0,0,3000,-3000,-1,0,84,-32,1
101,sim-ef496ec0-d570-3178-8733854064af,without_customer_context,-1,-50304,-47304,-3000,-1,0,-2,-29,1
101,sim-e9a76703-8e66-2d6a-0a42a80cdd1b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-e839a57e-dc94-c5cc-2e1a1cb63f41,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8519af6a-b9b5-4eec-d4527242b5b5,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-4f732f40-91a0-b6bb-694588ca49de,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-b066324d-60a0-62fe-a5e257d78ced,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-2f33b34e-4cb6-5371-f408e8e8a0e5,without_customer_context,0,0,-25,25,1,-1,13,13,0
101,sim-a549f341-235c-9be2-be01d60dc2f8,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-afc6d6e3-0b39-1355-45ab0d0c9119,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-0d6bd9b4-f09a-4185-28a9d96e6ef9,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-1660818a-2232-e0e8-6251576b60fe,without_customer_context,1,135232,135207,25,1,-1,23,170,0
101,sim-ee9b72b3-7296-685b-7020d6426cad,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-b645067d-4928-8895-90c13bdf7752,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-073998b7-4961-b7c7-5ed5e6ad388f,without_customer_context,0,0,55,-55,-1,0,80,-103,1
101,sim-6722875f-c0ea-f079-b2c62530f3e0,without_customer_context,0,0,-25,25,1,-1,11,171,0
101,sim-227c3047-0bd7-76b7-7d8e34d7d92c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-cb6d7e75-d50a-8ee1-1240ff40c62e,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7d99912f-f998-4338-b08054831ba2,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-fc42ceef-0290-d03c-749487ec335a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-ffaea6f4-a2da-3c5b-411a8b1b1e41,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-4531c086-d975-22c1-052d45f5789d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-60593ba1-570c-80c6-976cc594b480,without_customer_context,0,0,55,-55,-1,0,61,-154,1
101,sim-7786c49e-f524-2b37-4a4f84a0aca7,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f409ac78-814f-a619-5581d040243a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-33bdcb2a-6bb5-05f7-6ffd606259c4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-de50acfd-afa9-38cb-b4496a3a7c50,without_customer_context,0,0,35,-35,0,-1,-39,0,1
101,sim-2f1da4c2-61d8-90b1-b19920dbd23f,without_customer_context,0,0,60,-60,-1,0,-16,-35,1
101,sim-9b09b40e-ea5c-b6d3-532db059187b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-b4ce3426-7340-9568-3e3aa1b98bb0,without_customer_context,-1,-77429,-77374,-55,-1,0,21,-49,1
101,sim-126029ea-ca8e-4e5d-d3944a7f695f,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f105bba7-c961-ff2b-9f78141527a8,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-70baa7ff-e0e5-6722-848d8ffd290b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-ac48918c-7cb0-8772-6fbc18b2d7dd,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-54de6db7-630a-af10-486870a984f1,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-617dbd65-f348-457d-66edf68dfd0c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-a49f9d67-286f-696d-c19c01872902,without_customer_context,0,0,55,-55,-1,0,15,-39,1
101,sim-cf5876dc-c91c-9107-e6572961aff0,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8bec8a47-eaf7-1fe4-c87d20945f00,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7d6a25fa-327f-fd30-193873d56d97,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-3d332be6-2107-8e43-12500999a761,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-70acf63a-4b1e-5b14-a4aa0a302431,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-f92cfccd-23ca-faac-ad3af8995dc9,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-a2350b4e-bf60-ecfc-825ff3bdec9b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-de722646-cebf-c73c-d96784c90c1f,without_customer_context,-1,-50020,-49960,-60,-1,0,37,-27,1
101,sim-7358c990-5efe-0580-3aefa781414c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8f5789ee-56f0-e384-5eb20f8e2b8d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-32f5dd46-d430-b2e9-601dee3eb05b,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-09bab70f-ccf6-51d6-09d217b9c4fe,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-cc518a41-3e58-1396-3295303fb63a,without_customer_context,1,38279,38324,-45,-1,0,-4,-15,1
101,sim-285c8995-f09a-e2c4-c35132ecb9bb,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-d7152ebc-3ed2-2426-3e048a3fb686,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-fe3179bc-7841-32da-bc5a198a0ecd,without_customer_context,0,0,45,-45,-1,0,58,-19,1
101,sim-f9765042-4f19-8a29-e8eaeea374e0,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-1c203634-e2ed-6e46-819340a1c540,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-4f1d8a5e-7192-5e1e-efe921124f39,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-e4f2258f-9702-0b3e-ddc06afc8d6e,without_customer_context,-1,-67785,-67730,-55,-1,0,1,-24,1
101,sim-63947960-6329-0d5e-66171158a450,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-5bbadd6b-0943-99c4-6ac628f19d6a,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-57a41c9a-0b52-04e3-0883095a0114,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-7bbb87a3-d78e-bb49-41705c0710c8,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-26d0a4eb-ba4c-d517-d09aa1723158,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-0fa77ad5-964b-fc36-4207c817441d,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-2a962142-cc73-651f-4f13611a54a8,without_customer_context,0,0,25,-25,-1,1,4,-40,0
101,sim-c50c8b3f-da4f-afd0-5eb6a23d244c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-53fa733b-ac42-ea21-ec9d2513d9c4,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-11b1a266-5de7-afd4-ef4c5ffc7a16,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-351b3e92-8dd2-1e31-6b2850ce48b7,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-74145077-638f-2337-d1b9f43b7cfc,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-a0e98c02-2581-a905-11cad9b09c36,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-5d950d52-c670-04fd-c67884146b62,without_customer_context,-1,-175066,-175011,-55,-1,0,-26,-90,1
101,sim-f1c3b6d5-0cac-fb75-b7b6597856aa,without_customer_context,0,0,-25,25,1,-1,4,10,0
101,sim-f4b6ca2c-341f-8f51-2710fafd3a21,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-0195827e-040b-b48e-81ed1f1bab44,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-8351e2fb-5a32-bee9-0341acb22cde,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-66520fc8-6f93-3934-2e5a22bbef17,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-ccb1cfc0-03a7-e952-40d021a5c0d3,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-70092c1d-402f-ead1-5fc655169f86,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-9d6dfacb-bf99-8c65-b6291ed1971c,without_customer_context,0,0,0,0,0,0,0,0,0
101,sim-6de0e6fc-dd81-33e1-9de8b14d6b97,without_customer_context,0,0,0,0,0,0,0,0,0
